Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
-1;* Bij 265 personen is de woonplaats niet van bekend;99;;
796;Gemeente;108;155113;69.6
1680;Gemeente;3;25453;11.8
358;Gemeente;12;31857;37.7
197;Gemeente;3;27117;11.1
59;Gemeente;2;27836;7.2
482;Gemeente;6;20165;29.8
613;Gemeente;21;25589;82.1
361;Gemeente;36;109444;32.9
141;Gemeente;14;73080;19.2
34;Gemeente;39;211840;18.4
484;Gemeente;32;111889;28.6
1723;Gemeente;19;10213;186
1959;Gemeente;39;55980;69.7
60;Gemeente;0;3718;0
307;Gemeente;59;157279;37.5
362;Gemeente;52;91691;56.7
363;Gemeente;411;872779;47.1
200;Gemeente;49;163829;29.9
3;Gemeente;1;11644;8.6
202;Gemeente;46;161368;28.5
106;Gemeente;8;68606;11.7
743;Gemeente;8;16734;47.8
744;Gemeente;2;6860;29.2
308;Gemeente;5;24873;20.1
489;Gemeente;21;48713;43.1
203;Gemeente;17;59077;28.8
888;Gemeente;13;15868;81.9
1954;Gemeente;34;35976;94.5
370;Gemeente;4;10025;39.9
889;Gemeente;11;13483;81.6
1945;Gemeente;44;34990;125.8
1724;Gemeente;13;18638;69.7
893;Gemeente;2;13085;15.3
373;Gemeente;16;29844;53.6
748;Gemeente;15;67489;22.2
1859;Gemeente;2;43748;4.6
1721;Gemeente;87;31247;278.4
753;Gemeente;23;29985;76.7
209;Gemeente;16;25891;61.8
375;Gemeente;13;41613;31.2
1728;Gemeente;15;20395;73.5
376;Gemeente;6;11536;52
377;Gemeente;17;23570;72.1
1901;Gemeente;9;34869;25.8
755;Gemeente;51;10784;472.9
1681;Gemeente;1;25558;3.9
147;Gemeente;13;23313;55.8
654;Gemeente;7;22738;30.8
756;Gemeente;13;29371;44.3
757;Gemeente;22;30803;71.4
758;Gemeente;215;184271;116.7
501;Gemeente;5;17282;28.9
1876;Gemeente;8;36052;22.2
213;Gemeente;5;20756;24.1
899;Gemeente;24;27817;86.3
312;Gemeente;9;15191;59.2
313;Gemeente;3;21867;13.7
214;Gemeente;7;26742;26.2
502;Gemeente;31;67151;46.2
383;Gemeente;18;35988;50
109;Gemeente;17;35296;48.2
1706;Gemeente;42;21166;198.4
1684;Gemeente;8;25139;31.8
216;Gemeente;14;28956;48.3
148;Gemeente;14;28585;49
1891;Gemeente;1;18916;5.3
310;Gemeente;36;43124;83.5
1940;Gemeente;12;51567;23.3
736;Gemeente;17;44457;38.2
1690;Gemeente;3;24327;12.3
503;Gemeente;27;103659;26
10;Gemeente;4;24666;16.2
400;Gemeente;9;56305;16
762;Gemeente;42;32474;129.3
150;Gemeente;33;100718;32.8
384;Gemeente;7;30781;22.7
1774;Gemeente;28;26470;105.8
221;Gemeente;6;11078;54.2
222;Gemeente;17;58009;29.3
766;Gemeente;10;26226;38.1
505;Gemeente;32;119300;26.8
498;Gemeente;4;19717;20.3
1719;Gemeente;24;27274;88
303;Gemeente;11;41569;26.5
225;Gemeente;11;18918;58.1
226;Gemeente;4;25124;15.9
1711;Gemeente;25;31618;79.1
385;Gemeente;14;36201;38.7
228;Gemeente;37;117166;31.6
317;Gemeente;1;9247;10.8
770;Gemeente;15;19314;77.7
1903;Gemeente;32;25753;124.3
772;Gemeente;113;234456;48.2
230;Gemeente;9;23161;38.9
114;Gemeente;10;107055;9.3
388;Gemeente;17;18592;91.4
153;Gemeente;45;159734;28.2
232;Gemeente;18;33186;54.2
233;Gemeente;18;27005;66.7
